gene,logfoldchanges,pvals,pvals_adj
MAGI1,1.2729908,1.9072679823302273e-07,1.453001005986271e-05
ANGPT2,2.7011073,1.9377792335853564e-07,1.4721783940445444e-05
NUAK1,1.8154005,1.9982428581072293e-07,1.5139434489253068e-05
H2AFZ,0.98765737,2.062568128192819e-07,1.5583973654603167e-05
FAM195B,0.99725693,2.0996257847394671e-07,1.5777514956824258e-05
TUFM,0.947497,2.0996257847394671e-07,1.5777514956824258e-05
TBCA,0.9778399,2.2410876689084256e-07,1.679475971009689e-05
BCAM,0.9420467,2.3335567704959477e-07,1.744033295846538e-05
LGALS3,1.069266,2.398813340088671e-07,1.7879587646747397e-05
IPO11,27.997797,2.4130245039148663e-07,1.793703228273967e-05
WDR1,0.93394226,2.6726673547542133e-07,1.981366137349777e-05
EIF3F,0.96478754,2.7795485856079163e-07,2.0495826442217944e-05
SSBP4,1.7182503,2.9161115239317443e-07,2.1445472961863903e-05
MTPN,1.0720087,2.9534163136859844e-07,2.1662051887987258e-05
MTUS1,2.8168173,2.979512211831974e-07,2.1795487474244612e-05
CALU,1.8930188,3.4219310904246666e-07,2.4965612595696154e-05
COL15A1,6.476118,3.4553707489948216e-07,2.5143064516036725e-05
DEK,0.98896915,3.623837082962212e-07,2.629952080892944e-05
IVNS1ABP,1.2674673,3.648541583426694e-07,2.6409312280247075e-05
RSL24D1,1.0467798,3.8223760308526e-07,2.7595153449961518e-05
KXD1,1.5375754,3.9350526352973e-07,2.833443383191356e-05
CNPY2,0.9935969,4.004189930367207e-07,2.875717445303824e-05
PRELID1,0.972732,4.050931056755182e-07,2.9017292644985563e-05
PTPN12,1.0391754,4.0823838134514317e-07,2.916683440605274e-05
EI24,1.0322425,4.1021613028795464e-07,2.923240424051993e-05
ATP5G2,0.960687,4.158031334283473e-07,2.9554172200224127e-05
EIF3G,0.93842673,4.292645010233863e-07,3.0432535756357192e-05
APRT,1.0076118,4.5046481991572963e-07,3.177217085328898e-05
FAM43A,1.1677295,4.6859940529180885e-07,3.294636278968212e-05
COX7A2L,0.92339194,4.6950179767731785e-07,3.294636278968212e-05
CAMTA1,0.92757404,4.7403895967485874e-07,3.318032088810471e-05
PDLIM2,1.3464516,4.827763493090614e-07,3.37063447120134e-05
TPGS1,1.5571612,4.888438388622663e-07,3.404377623268581e-05
NAP1L1,0.9553065,4.940352511297008e-07,3.4298220849577615e-05
EMP1,0.7933949,4.94984839296972e-07,3.4298220849577615e-05
H2AFV,0.9579559,4.964125227537697e-07,3.4310938728078846e-05
PSMB5,0.87628925,5.036107153569134e-07,3.470137995713474e-05
COTL1,1.4158641,5.08465319262207e-07,3.488173277266951e-05
TAGLN2,0.85051715,5.442539936103986e-07,3.724425964215279e-05
ZEB1,1.0221789,5.590254361120048e-07,3.813902585127081e-05
ATP6V1F,0.8834808,5.600952016014461e-07,3.813902585127081e-05
MYH9,0.927272,5.897364250192913e-07,4.0058500318182305e-05
DYNLT1,0.98391336,6.274240087431481e-07,4.2490375909030305e-05
JUP,1.14999,6.286196740475874e-07,4.2490375909030305e-05
BAZ2B,0.84867305,6.388718815701543e-07,4.307777200474747e-05
GNB2,0.9839433,6.505209293308283e-07,4.375625899776971e-05
RPS19BP1,0.9329475,6.623745421947701e-07,4.444517061957997e-05
SNF8,1.385479,6.821627852486651e-07,4.5661857503853605e-05
RSL1D1,1.3922638,6.952304015356756e-07,4.642388381005051e-05
CMPK1,1.0761994,7.152850919004026e-07,4.764766247446691e-05
LAYN,1.9296418,7.22092995086016e-07,4.7985254502366625e-05
MRPS21,0.9134839,7.282734495522641e-07,4.827962786478928e-05
NUDT4,1.2812966,7.303449031236134e-07,4.8300843497225444e-05
MATN2,2.5342734,7.414888782424402e-07,4.892052699562205e-05
LGALS9,1.2027277,7.506638060592452e-07,4.9407652609789644e-05
NME4,1.3385901,7.628269276460174e-07,5.0088669072909203e-05
SEPW1,0.9369562,7.67890259627347e-07,5.030137192399757e-05
SPRY1,3.503054,7.759123945246678e-07,5.070642657867604e-05
TXNDC17,1.0327872,7.95946821357348e-07,5.189272207894313e-05
PPDPF,0.9535806,8.494354713569302e-07,5.5249366578022216e-05
COX7C,0.9194748,8.550513111647314e-07,5.5483776610119905e-05
SSNA1,1.1613463,8.598933305238597e-07,5.5666991242223006e-05
TMEM160,1.0686878,8.688390305702103e-07,5.608869833927002e-05
TCP1,1.0297885,8.704751210822964e-07,5.608869833927002e-05
PFDN2,0.8963163,8.762248334475617e-07,5.6327572160412254e-05
COX17,0.882377,9.055263022754425e-07,5.8075824102679424e-05
TNFAIP8L1,1.5400182,9.588639915278828e-07,6.135394700314606e-05
MT-ND4,0.39574754,9.788326697635565e-07,6.248668371930407e-05
PSMC5,0.94660556,9.861927830357996e-07,6.281114219529164e-05
WDR83OS,0.9319426,1.004826884561529e-06,6.370371453433988e-05
MSN,0.90082127,1.069752624184419e-06,6.766430704072914e-05
LAMC1,2.804799,1.0838201697006874e-06,6.83972371624841e-05
SEC61G,0.9266439,1.1547191317280926e-06,7.27051237780761e-05
UBE2E1,1.2398455,1.1862943376397416e-06,7.452306433582867e-05
CSNK2B,0.9145952,1.1907141977322365e-06,7.463071851149914e-05
KIF5B,0.82435465,1.2175679322859068e-06,7.614079010562527e-05
MDH2,0.9108912,1.2392394024566682e-06,7.732068832794117e-05
CCT8,1.1588327,1.2647963514653459e-06,7.873714171718129e-05
MZT2A,1.7032503,1.2683204290683688e-06,7.877869547938621e-05
MANF,0.9114524,1.318660271210466e-06,8.172137743694884e-05
TPRKB,1.1226664,1.3296946775419226e-06,8.222044802074248e-05
ARHGDIB,0.92315966,1.3408178630828422e-06,8.272276292639513e-05
EIF3D,0.92110944,1.3457901767138932e-06,8.284419976208872e-05
ANGPTL2,2.0134013,1.3759985533876008e-06,8.451511827466204e-05
ZFAS1,0.8717624,1.3798201393485735e-06,8.456151067323324e-05
ACTN1,2.2770255,1.434405940876971e-06,8.732460714681039e-05
H2AFY,0.9647005,1.5229982294646498e-06,9.239547880247041e-05
ACKR1,2.033289,1.5244014379260291e-06,9.239547880247041e-05
EIF2S2,0.933676,1.5455993049447654e-06,9.347486322755865e-05
TMSB10,0.35073367,1.5670804042678692e-06,9.456661573063304e-05
PRDX4,1.2020646,1.600576480206995e-06,9.637707024268233e-05
COX8A,0.9068868,1.6407764222353814e-06,9.858242303356721e-05
PKM,0.9582635,1.674247763573901e-06,0.00010037479309530662
MRPL11,1.5647575,1.702120604746032e-06,0.00010144479489255598
